,Unnamed: 0,Date_Posted,Comment,Username,Upvotes,date_retrieved,article_name,link,sections,word_count,character_count,link_count,emoji_count,hashtag_count,mention_count,polarity_pos,polarity_neg,polarity_neu,polarity_compound
33,33,2022-04-01,"Everyone seems to be focused on oil and gas as they relate to refined gasoline and diesel fuel.

Guess what?  Refineries ""refine"" a LOT more from crude oil than just these products.  Plastics of all sorts, paints, stains, lubricants/recirculation fluids used in factories, cleaning agents, asphalt, ""synthetics"" of all sorts, ALL are have their origin in crude oil.  The hyper-inflation we are about to suffer will affect virtually all products we consume.

So, all you progressives get used to it:  Oil and gas exploration and production will NEVER go away!  Renewable energy sources such as wind and solar, and nuclear, do not have ANYTHING to do with the products refined from crude oil.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,113,690,0,9,0,,0.052,0.124,0.825,-0.9027
34,34,2022-04-01,simple questions   why is not big oil pumping more and exporting less I will tell you why $$$$$$ Last numbers I heard this am were that we are pumping a tad over 11 million gallons a day  pre pandemic it was over 13 million per day  exports are the same level as pre pandemic. . The ban on new permits on federal land imposed by Biden lasted for less than two months. courts overturned the ban.  What is big oil doing to help the US  Nothing!!!!!,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,86,446,0,11,0,,0.03,0.108,0.862,-0.7887
35,35,2022-04-01,"John, Oil production in the U.S. isn't like faucet that you turn on and off.  I spent a career working for one of the worlds largest oil companies at the time.  I can tell you that at these prices, every well that can produce is producing.  Those wells that aren't producing are being worked on as we type.

By the way, I'm sure you meant barrels a day not gallons.  The oil industry uses a conversion rate of 42 gallons/barrel when talking oil.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,83,445,0,4,0,,0.078,0.026,0.897,0.509
36,36,2022-04-01,thank you for the correction. Why does it take so long to reach the same active rig totals pre pandemic??Active rigs have increased only slightly during the last several lmonths??,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,30,179,0,4,0,,0.266,0.042,0.692,0.7977
37,37,2022-04-01,"Good question.  What I'm reading and hearing is the oil industry has lost so many experienced people, that they're having difficulties hiring people to operate the drilling rigs.

As for the wells that produce the most, those are wells that will be frac'd after drilling, and those investments are quite high.  By the way, the spelling in the industry is ""frac"" bc it's short for ""fracture"".

As for leases, those take years to prove there is commercial oil in quantities enough to  justify the huge capital to develop.  When prices spike up, rarely to companies invest huge amounts of capital unless they're sure prices will remain high.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,107,638,0,9,0,,0.118,0.038,0.844,0.8074
38,38,2022-04-01,"That's because the Magic Oil Fairy that democrats are so sure exists, hasn't waved her magic wand, with the hoped for effect that those newly leased holes would start producing that elixir.

Look, it's a simple equation:  New Lease + Oil drilling /= Instant oil.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,45,262,0,7,0,,0.118,0.04,0.842,0.5706
39,39,2022-04-01,"""Her"" magic wand? Be careful of your pronouns with this bunch. :)",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,12,65,0,5,0,,0.315,0.0,0.685,0.5574
40,40,2022-04-01,Rigs that were working pre pandemic are now sitting idle why???,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,11,63,0,3,0,,0.0,0.0,1.0,0.0
41,41,2022-04-01,"One answer is that the people who worked the rigs lost their jobs and, noting that the next three years will have the same administration/anti-oil policies, decided to seek a different career.

But you should ask the President; I'm sure he has a notecard somewhere with an answer of some sort on it.

Or, you could ask the Vice President; that would at least provide some comic relief.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,68,385,0,5,0,,0.099,0.023,0.878,0.7543
42,42,2022-04-01,"Ask them.  Probably because the well isn't producing, and maybe needs whipstocking, or some other such methodology.

Let me ask you questions, sir: when was the last time this country created a refinery?  And, what is the current capacity that the refineries we do have outputting refined product?

Those are questions that are a lot more pertinent than political grandstanding.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,60,378,0,4,0,,0.074,0.0,0.926,0.5362
43,43,2022-04-01,It takes more than permits. Joey has had his foot on the neck of fossil fuel since day one. This is the result.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,23,111,0,0,0,,0.0,0.0,1.0,0.0
44,44,2022-04-01,And you base your opinion on what facts.  above I provided some facts---I a waiting my friend,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,17,93,0,3,0,,0.186,0.0,0.814,0.4939
45,45,2022-04-01,"""Easing sanctions would merely give their regimes more money to create problems for the U.S. and its allies.""

No kidding. In its essense, it's an act of treason against the US, as is the entire program of environmental obstructionism. As are this president's acts deliberately targeting the security of the US through his war on oil and gas production.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,59,353,0,4,0,,0.115,0.165,0.72,-0.6743
46,46,2022-04-01,"The Ukaraine war has never made it clearer that energy access equals security -- both militarily and economically. As such suggesting the elimination of fossil fuels with no possible realistic replacement is child's play. The left has been doing this for over a decade. 70% of electricity is still generated by burning coal. So unless you want to build some nuclear power plants ....  ""buy a Tesla "" is not the answer. Someone ask AOC what she thinks will close the GAP? They live in a fairy tale. Are there any adults in the room?",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,95,531,0,8,0,,0.088,0.061,0.851,0.1837
47,47,2022-04-01,"I heard mr mush say to buy an electric car yesterday. So how does he think the electricity is made for the ""fuel""?",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,23,114,0,3,0,,0.0,0.0,1.0,0.0
48,48,2022-04-01,It is like Topsy - it just 'growed',,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,8,35,0,3,0,,0.294,0.0,0.706,0.3612
49,49,2022-04-01,"There was an old saying to, ""paint yourself into a corner.""
Biden appears to have painted himself (and the country with him!) into every corner in sight.
There are quite a few remedies for the oil and gas ""shortage,""
but he has done an amazing job of checkmating himself in all directions.
If this were a game, it would time to concede and ask for a rematch!",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,67,358,0,8,0,,0.085,0.0,0.915,0.7772
50,50,2022-04-01,"Excellent points ...just would like to add the double royalties the us govt is receiving based upon the higher prices.... According to US DEPT of Interior, Natural Resources Data, in Jan 2021 govt received $597.7million and in Jan 2022 $1.2 Billion with avg price $85/bbl so probably the US govt will get an additional $10-15 billion this year just cream off the cake.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,63,368,0,6,0,,0.127,0.0,0.873,0.8271
